C1;H1;5.16;0.5;1.0
C2;H2;-12.08;0.5;1.0
C2;C10;-0.57;0.5;1.0
C3;H3;-9.37;0.5;1.0
C4;H4a;-5.50;0.5;1.0
C4;H4s;-9.34;0.5;1.0
C5;H5;-2.40;0.5;1.0
C6;C8;1.59;0.5;1.0
C6;C9;-0.89;0.5;1.0
C7;H7a;-0.52;0.5;1.0
C7;H7s;13.46;0.5;1.0
H1;H2;4.64;0.5;1.0
H1;H3;0.91;0.5;1.0
H1;H4a;0.34;0.5;1.0
H1;H4s;0.18;0.5;1.0
H1;H5;-0.33;0.5;1.0
H1;H7a;-0.30;0.5;1.0
H1;H7s;-1.73;0.5;1.0
H2;H3;-1.61;0.5;1.0
H2;H4a;-0.52;0.5;1.0
H2;H4s;-0.59;0.5;1.0
H2;H7a;-0.48;0.5;1.0
H2;H7s;1.01;0.5;1.0
H3;H4a;-1.44;0.5;1.0
H3;H4s;-1.35;0.5;1.0
H3;H5;0.42;0.5;1.0
H3;H7a;-0.29;0.5;1.0
H3;H7s;0.31;0.5;1.0
H4a;H4s;-13.04;0.5;1.0
H4a;H5;4.54;0.5;1.0
H4a;H7a;0.80;0.5;1.0
H4a;H7s;1.53;0.5;1.0
H4s;H5;4.11;0.5;1.0
H4s;H7a;-0.74;0.5;1.0
H4s;H7s;0.30;0.5;1.0
H5;H7a;-1.88;0.5;1.0
H5;H7s;-1.61;0.5;1.0
H7a;H7s;14.63;0.5;1.0
