C1;H1;2.88;0.5;1.0
C2;H2;5.57;0.5;1.0
C2;C10;-1.15;0.5;1.0
C3;H3;-3.48;0.5;1.0
C4;H4a;4.30;0.5;1.0
C4;H4s;0.83;0.5;1.0
C5;H5;-12.95;0.5;1.0
C6;C8;0.73;0.5;1.0
C6;C9;-0.25;0.5;1.0
C7;H7a;12.01;0.5;1.0
C7;H7s;0.64;0.5;1.0
H1;H2;4.16;0.5;1.0
H1;H3;0.47;0.5;1.0
H1;H4a;0.23;0.5;1.0
H1;H4s;0.11;0.5;1.0
H1;H5;-0.69;0.5;1.0
H1;H7a;0.46;0.5;1.0
H1;H7s;-4.13;0.5;1.0
H2;H3;0.21;0.5;1.0
H2;H4a;-1.01;0.5;1.0
H2;H4s;-0.28;0.5;1.0
H2;H7a;-5.80;0.5;1.0
H2;H7s;-0.78;0.5;1.0
H3;H4a;-2.45;0.5;1.0
H3;H4s;-6.22;0.5;1.0
H3;H5;-0.76;0.5;1.0
H3;H7a;-0.38;0.5;1.0
H3;H7s;-0.13;0.5;1.0
H4a;H4s;3.26;0.5;1.0
H4a;H5;3.15;0.5;1.0
H4a;H7a;0.93;0.5;1.0
H4a;H7s;0.86;0.5;1.0
H4s;H5;-0.12;0.5;1.0
H4s;H7a;0.10;0.5;1.0
H4s;H7s;0.18;0.5;1.0
H5;H7a;0.02;0.5;1.0
H5;H7s;0.00;0.5;1.0
H7a;H7s;9.91;0.5;1.0
