C1;C2;-1,0952;0,5;1,0
C1;C5;0,109;0,5;1,0
C1;C9;0,93256;0,5;1,0
C2;H2a;-0,59699;0,5;1,0
C2;H2s;17,052;0,5;1,0
C5;H5;14,127;0,5;1,0
C5;C6;-1,5495;0,5;1,0
C6;H6a;13,348;0,5;1,0
C6;H6s;7,998;0,5;1,0
C6;C7;-0,28725;0,5;1,0
C7;H7;-16,132;0,5;1,0
C7;C8;0,9473;0,5;1,0
C7;C10;0,26473;0,5;1,0
C8;H8a;13,848;0,5;1,0
C8;H8s;-6,9293;0,5;1,0
C8;C9;-1,4692;0,5;1,0
C9;H9a;6,9617;0,5;1,0
C9;H9s;-0,51981;0,5;1,0
C10;C11;1,2202;0,5;1,0
C10;C12;-0,016911;0,5;1,0
H2a;H2s;12,342;0,5;1,0
H2a;H5;-0,10427;0,5;1,0
H2a;H9a;0,67707;0,5;1,0
H2a;H9s;-2,6915;0,5;1,0
H2s;H5;0,9212;0,5;1,0
H2s;H9a;1,3728;0,5;1,0
H2s;H9s;1,0322;0,5;1,0
H5;H6a;-6,7517;0,5;1,0
H5;H6s;-0,554;0,5;1,0
H5;H8a;-2,1479;0,5;1,0
H5;H8s;-0,73269;0,5;1,0
H5;H9a;0,22923;0,5;1,0
H5;H9s;-0,12771;0,5;1,0
H5;H7;-0,8902;0,5;1,0
H6a;H6s;17,711;0,5;1,0
H6a;H7;0,29893;0,5;1,0
H6a;H8a;0,61443;0,5;1,0
H6a;H8s;-0,15307;0,5;1,0
H6a;H9a;-0,68667;0,5;1,0
H6a;H9s;-0,15947;0,5;1,0
H6s;H7;-2,2334;0,5;1,0
H6s;H8a;0,95624;0,5;1,0
H6s;H8s;0,083036;0,5;1,0
H6s;H9a;0,096938;0,5;1,0
H6s;H9s;-0,038732;0,5;1,0
H7;H8a;3,1579;0,5;1,0
H7;H8s;1,5587;0,5;1,0
H7;H9a;-0,47977;0,5;1,0
H7;H9s;-0,68851;0,5;1,0
H8a;H8s;4,3575;0,5;1,0
H8a;H9a;-6,3769;0,5;1,0
H8a;H9s;-0,76445;0,5;1,0
H8s;H9a;-3,0116;0,5;1,0
H8s;H9s;-6,6502;0,5;1,0
H9a;H9s;4,9269;0,5;1,0
