C1;C14;-1.445;1.00;1.00
C2;H2;3.104;1.00;1.00
C3;H3;3.737;1.00;1.00
C5;C15;0.238;1.00;1.00
C7;H7;-16.840;1.00;1.00
C8;H8;-16.595;1.00;1.00
C9;H9b;9.302;1.00;1.00
C10;H10a;0.649;1.00;1.00
C10;H10b;-16.332;1.00;1.00
C11;H11;-15.925;1.00;1.00
C11;C13;0.469;1.00;1.00
H2;H3;-0.076;1.00;1.00
H2;H10a;3.601;1.00;1.00
H2;H10b;1.301;1.00;1.00
H7;H8;-1.932;1.00;1.00
H7;H9a;3.263;1.00;1.00
H7;H9b;0.709;1.00;1.00
H9a;H10a;0.537;1.00;1.00
H9a;H10b;-1.865;1.00;1.00
H9a;H9b;-7.045;1.00;1.00
H9b;H10a;2.581;1.00;1.00
H9b;H10b;1.609;1.00;1.00
H10a;H10b;-12.004;1.00;1.00
